store_id,store_name,store_address,store_city,store_zipcode
100002,AUTOTOTE LOTTERY,301 Hammer Mill Rd,Rocky Hill,6067
100003,ELLINGTON PHARMACY,175 WEST RD,ELLINGTON,6029
100006,BUTERA`S + GALLO`S PKG ST,7 ROSE.ST,DANBURY,6810
100007,WAYSIDE DISCOUNT LIQUOR STORE,21 WATERBURY RD,THOMASTON,6787
100008,DANBURY MOBIL,419 MAIN ST,DANBURY,6810
100009,FOOD BAG #549,559 HAZARD AVE,ENFIELD,6082
100011,INTERNATIONAL PACKAGE STORE,578 WINCHESTER AVE,NEW HAVEN,6511
100016,LEDYARD FARMS,1649 RT 12,GALES FERRY,6335
100017,LIDO DELI,1889 MAIN ST,STRATFORD,6497
100019,ADAM`S SUPERMARKET,311 MAIN ST,TERRYVILLE,6786
100020,STATE STREET MARKET,1226 STATE ST,BRIDGEPORT,6605
100021,REPUBLIC FAMILY REST.,273 CLARKS FALLS RD,NORTH STONINGTON,6359
100027,COLONIAL NEWS,111 THOMASTON AVE,WATERBURY,6702
100035,PHOENIX  STORE,100 BRIGHT MEADOW BLVD,ENFIELD,6082
100038,FARMINGTON SUN INC,669 FARMINGTON AVE,WEST HARTFORD,6119
100039,V & S VARIETY,93 PROSPECT ST,STAMFORD,6905
100040,HENNY PENNY #35,3048 DIXWELL AVE,HAMDEN,6514
100043,WHITE HOUSE LIQUORS,178 NEWINGTON RD,ELMWOOD,6110
100044,PAIVA`S LIQUOR STORE,161 RUBBER AVE,NAUGATUCK,6770
100046,VILLAGE PHARMACY,1368 MAIN ST,COVENTRY,6238
100048,PUTNAM SUPERMARKET,162 PROVIDENCE ST,PUTNAM,6260
100052,ERNIES VARIETY STORE,2043 FAIRFIELD AVE,BRIDGEPORT,6605
100060,POPS GROCERY STORE,162 MAIN ST,BRIDGEPORT,6604
100063,WEST SIDE PACKAGE INC.,408 CHURCH ST,TORRINGTON,6790
100065,D & D LIQUORS,115 BRIDGE ST,NAUGATUCK,6770
100068,THORNTONS GAS & FOOD MART #12,227 E MAIN ST,BRANFORD,6405
100069,Sams Food Store,307 HAZARD AVE,ENFIELD,6082
100070,NORTHFORD FOOD MART,1371 MIDDLETOWN AVE,NORTHFORD,6472
100072,TOWN LINE SHELL,195 PROSPECT AVE,WEST HARTFORD,6106
100073,COLONIAL WINE & SPIRIT,1079 FOXON RD,NORTH BRANFORD,6471
100074,FOUR SEASON PACKAGE STORE,630 TALCOTTVILLE RD,VERNON,6066
100075,LUNTS ANDOVER MARKET,"144 RTE 6, BOX E",ANDOVER,6232
100076,FRANK`S PACKAGE STORE,15 BOSTON ST,GUILFORD,6437
100078,HINA`S GETTY MART,934 E MAIN ST,MERIDEN,6450
100079,JED LTD/CITGO,1633 PORTLAND COBALT RD,PORTLAND,6480
100080,DANBURY WINE & LIQUOR,18 WHITE ST,DANBURY,6810
100083,SALAS,200 E MAIN ST,WALLINGFORD,6492
100094,FIVE CORNERS WINE & SPIRITS,192 WINDSORVILLE RD,ELLINGTON,6029
100097,BOB`S SPIRIT SHOPPE,24 GREENWOODS ROAD,TORRINGTON,6790
100098,HAYDEN STATION LIQUOR,1075 PALISADO AVE,WINDSOR,6095
100104,LENOX PHARMACY,299 E CENTER ST,MANCHESTER,6040
100109,GIGANTES` ITALIAN DELI LLC,117 CHURCH ST,WALLINGFORD,6492
100117,FLORIDA SUPER MARKET,1268 PEMBROKE ST,BRIDGEPORT,6608
100122,ARTHUR DRUG INC.,190 FARMINGTON AVE,HARTFORD,6105
100124,EASTWOOD WINE & LIQUORS,1026 MAIN ST,EAST HARTFORD,6108
100128,WINE SHOPPE,932 N COLONY RD,WALLINGFORD,6492
100133,CARDTIQUE SHOP,40 A EAST ST,NEW MILFORD,6776
100134,GRANBY PACKAGE STORE,496 SALMON BROOK RD,GRANBY,6035
100142,CLINTON SHORELINE TEXACO,56 WEST MAIN ST,CLINTON,6413
100145,7-ELEVEN FOOD STORE 15898-E,164 NEW BRITAIN AVE,KENSINGTON,6037
100150,JACK`S INTERSTATE MOBIL INC,WEST ST & I-84,SOUTHINGTON,6489
100153,ADAM`S SUPERMARKET,200 LEAVENWORTH RD,SHELTON,6484
100155,BUNKER HILL PHARMACY,256 BUNKER HILL AVE,WATERBURY,6708
100156,NEWS 7,301 MERRITT SEVEN,NORWALK,6851
100157,QUICK STOP  CONVENIENCE STORE,916 STAFFORD AVE,BRISTOL,6010
100160,MAX`S PACKAGE STORE,329 FLANDERS RD,EAST LYME,6333
100165,TRAV`S MOBIL,1164 POST RD.,GUILFORD,6437
100173,FAIRGROUND WINE & SPIRIT,19A SUGAR HOLLOW RD,DANBURY,6810
100176,DAIRYTOWN DRIVE THRU CONV.,51 PADANARAM RD,DANBURY,6811
100179,BJ`S WHOLESALE CLUB #031,40 BLACK ROCK TPKE,FAIRFIELD,6824
100180,WATERBURY EXXON,1003 WOLCOTT ST,WATERBURY,6705
100186,ARNOLD BAKERS THRIFT STORE,348 HUNTINGDON AVE,WATERBURY,6708
100191,PAT`S MARKET,3-5 EAST HAMPTON RD,MARLBOROUGH,6447
100192,BRIDGEWATER CONVENIENCE,11 NEW MILFORD RD WEST,BRIDGEWATER,6752
100195,CREANS DELI,382 BUCKINGHAM ST,WATERTOWN,6795
100199,HAROULA`S COFFEE SHOP,29 BANK ST,SEYMOUR,6483
100201,THE MONKEY FARM,571 BOSTON POST RD,OLD SAYBROOK,6475
100202,POST ROAD NEWS,902 BOSTON RD,MILFORD,6460
100205,BRISTOL DISCOUNT FOOD OUTLET,100 N MAIN ST,BRISTOL,6010
100207,NORTHFORD STORE INC.,1405 MIDDLETOWN AVE,NORTHFORD,6472
100208,VITOS NEWS,37 CENTER ST,NEW HAVEN,6510
100209,KING`S PACKAGE STORE,1980 PARK ST,HARTFORD,6106
100215,JIMMY`S QUALITY SMOKE SHOP,64 W MAIN ST,NEW BRITAIN,6051
100222,KENS FOOD STORE,385 ALLEN ST,NEW BRITAIN,6051
100229,STOP & SHOP #664,1001 POQUONNOCK RD,GROTON,6340
100230,GULLIVER`S WINE & LIQUOR,423 MAIN ST,DANBURY,6810
100231,D & Z SODA KING,RTE 6 & DAY ST,DANIELSON,6239
100232,STOP & SHOP #667,117 BOSTON POST RD,WATERFORD,6385
100233,GREENWICH CIGAR STORE,91 RAILROAD AVE,GREENWICH,6830
100240,BETHEL FOODMARKET INC,98 GREENWOOD AVE,BETHEL,6801
100241,SO. MAIN GROCERY & DELI,58 SO. MAIN ST,NORWALK,6854
100246,ADAM`S SUPERMARKET,693 FARMINGTON AVE,NEW BRITAIN,6053
100248,GEISSLER`S SUPERMARKET INC,965 SULLIVAN AVE,SOUTH WINDSOR,6074
100249,PEMBERWICK X CHANGE LLC,83 PEMBERWICK RD,GREENWICH,6831
100250,TERRYVILLE MOBIL,131 MAIN ST,TERRYVILLE,6786
100252,JIMMIES PACKAGE STORE,473 FRANKLIN AVE,HARTFORD,6114
100253,CAPEN PACKAGE STORE,212 CAPEN ST,HARTFORD,6112
100257,LOG CABIN PACKAGE,276 SCOTT SWAMP RD,FARMINGTON,6032
100258,M & R LIQUOR,214 WEST MAIN ST,AVON,6001
100259,ARTHUR DRUG STORES,148 BROAD ST,WINDSOR,6095
100261,DOWNTOWN NEWS & MINI MART,1249 MAIN ST,BRIDGEPORT,6604
100270,NORTH MAIN SHELL,857 N MAIN ST,TORRINGTON,6790
100273,FARMINGTON AVE PACKAGE STORE,489 FARMINGTON AVE,HARTFORD,6105
100274,DALE DRUG CO.,2152 POQUONOCK AVE,WINDSOR,6095
100276,C & D STATELINE DELI,699 WEST PUTNAM AVE,GREENWICH,6830
100277,CONVENIENCE FOOD MARKET,790 BOSTON AVENUE,BRIDGEPORT,6601
100280,LOU`S LODGE,299 BLATCHLEY AVE EAST,NEW HAVEN,6513
100285,BESSO`S VARIETY,11 WEST BROAD ST,PAWCATUCK,6379
100288,MADISON MINI MART,181 BOSTON POST RD,MADISON,6443
100289,FRANKLIN PACKAGE STORE,402 FRANKLIN AVENUE,HARTFORD,6114
100291,BEACON FALLS MARKET,81 SOUTH MAIN ST,BEACON FALLS,6403
100296,STOP & GO FOOD MART,294 S MAIN ST,MIDDLETOWN,6457
100298,BAUBY`S,784 CHAPEL ST,NEW HAVEN,6510
100299,PLEINES` PACKAGE STORE,344 STATE ST,NORTH HAVEN,6473
100301,LIQUOR OUTLET,400 NORTH MAIN ST,SOUTHINGTON,6489
100305,MILE HILL XTRA MART,1302 HARTFORD TPKE,VERNON,6066
100306,OLIVERS,75 WATERBURY RD,PROSPECT,6712
100307,SWISS CLEANERS,23 PUTNAM AVE,HAMDEN,6517
100308,EXPRESS DELI & CONVENIENCE,6 BOSTON AVE,STRATFORD,6497
100310,ONE STOP NEWS & DELI,1243 MAIN ST,BRIDGEPORT,6604
100311,RIVERTON GENERAL STORE,1 MAIN ST,RIVERTON,6065
100312,HUSKY MOBIL,607 MIDDLE TPKE,STORRS,6268
100313,POMFRET XTRA MART,19 PUTNAM RD (RTE 44),POMFRET,6258
100316,WEST BROAD VARIETY INC.,65 W. BROAD ST,STAMFORD,6902
100321,JO`S CONVENIENCE MART,528 GOLD STAR HWY,GROTON,6340
100322,DUNKIN DONUTS NEWTOWN,6 QUEEN ST,NEWTOWN,6470
100329,SIMSBURY PHARMACY,1418 HOPMEADOW ST,SIMSBURY,6070
100333,ELM DISCOUNT PKG STORE,89 VALLEY ST,WILLIMANTIC,6226
100336,THIMBLE ISLANDS WINE & LIQUOR,384 E. MAIN ST    .,BRANFORD,6405
100342,ROME`S AUTO SERVICE,5 TUNXIS AVE,BLOOMFIELD,6002
100345,SUMMER STREET PIZZA DELI REST,1410 SUMMER ST,STAMFORD,6905
100346,FRIENDLY LIQUOR SHOP,240 BROAD ST,MILFORD,6460
100351,GEISSLER`S SUPERMARKET INC,318 BROAD STREET,WINDSOR,6095
100352,N E DAIRY STORE INC,194 MAIN ST,CHESHIRE,6410
100360,HILLTOP FOOD MARKET INC,1081 HUNTINGTON RD,STRATFORD,6614
100361,SARGENT ENTERPRISES,100 SARGENT DRIVE,NEW HAVEN,6511
100363,ANDY`S FOOD TOWN INC,31 MAIN ST,EAST HARTFORD,6118
100368,TRI TOWN FOODS,316 MARLBOROUGH ST,PORTLAND,6480
100370,A & A SERVICE STATION,83 FEDERAL RD,BROOKFIELD,6804
100376,STOP & SHOP #2605,54 HAZARD AVENUE,ENFIELD,6082
100377,STOP & SHOP #693,940 SILVER LN,EAST HARTFORD,6118
100379,PLAZA CITGO,329 EAST CENTER ST,MANCHESTER,6040
100382,SOUTHWOOD PHARMACY INC.,89 RAFFIA RD,ENFIELD,6082
100383,QUICK STOP GRINDER,109 BRIDGE ST,GROTON,6340
100385,REDENTIS PACKAGE STORE,229 GRAND AVE,NEW HAVEN,6513
100388,TRUMBULL CAR CARE,648 WHITE PLAINS RD,TRUMBULL,6611
100390,NORTH ROAD PHARMACY,149 NORTH RD,EAST WINDSOR,6088
100392,QUICK STOP CONVENIENCE,213 Liberty Sq,EAST NORWALK,6855
100400,SCOTT LEONARD AI INC,50 FENN RD,NEWINGTON,6111
100401,PERO FRUIT STAND INC.,276 OAKLAND ST,MANCHESTER,6040
100414,PUTNAM SPIRITS INC.,207 KENNEDY DR,PUTNAM,6260
100415,GENE`S PACKAGE STORE,578 Boston Post Rd,OLD SAYBROOK,6475
100417,TRAVELERS SHELL,1095 N MAIN ST RTE 12,DAYVILLE,6241
100428,CHUCKY`S GLASTONBURY,952 NEW LONDON TPKE,SO. GLASTONBURY,6033
100431,SUPER FOODMART #405,1700 PARK AVE,BRIDGEPORT,6604
100434,PAIGE SMOKE SHOP INC,5 WOODEND RD,STRATFORD,6497
100443,CORDIAL SHOPPE,950 BOSTON POST RD.,OLD SAYBROOK,6475
100445,NORWICH MINI MARKET,340 FRANKLIN ST,NORWICH,6360
100447,CONNECTICUT LIQUOR STORE,1071 KING ST,GREENWICH,6831
100449,FOOD BAG #505,325 ALLEN ST,NEW BRITAIN,6053
100450,CUMBERLAND FARMS #4731,2525 E MAIN ST,BRIDGEPORT,6610
100454,FOOD MART INC.,31 BRIDGE ST,NEW MILFORD,6776
100460,WHALLEY AVE EXXON,284 WHALLEY AVE,NEW HAVEN,6511
100465,STOP & SHOP #615,42 TOWN ST,NORWICH,6360
100473,J & J LIQUORS,325 CHAMBERLAIN HWY,MERIDEN,6450
100474,BANNER WINE & LIQUORS,66 NORTH MAIN ST,NORWALK,6854
100475,AIRPORT SUNOCO,150 RAINBOW RD,EAST GRANBY,6026
100476,ALDO`S DELICATESSEN INC.,1070 EAST MAIN ST,BRIDGEPORT,6608
100477,BAKERVILLE STORE,1165 LITCHFIELD TPKE,NEW HARTFORD,6057
100485,SOUTHFORD STORES,1514 SOUTHFORD RD,SOUTHBURY,6488
100487,STOP & SHOP #618,410 REIDVILLE DR,WATERBURY,6705
100492,BILL`S SHELL FOOD MART,850 WOLCOTT ST,WATERBURY,6705
100493,DAIRY N` MORE,248 SOUTH QUAKER LANE,WEST HARTFORD,6119
100496,FITZGERALDS FOODS,710 HOPMEADOW ST,SIMSBURY,6070
100498,BLACK ROCK GENERAL STORE,2852 FAIRFIELD AVE,BRIDGEPORT,6605
100499,ROMNY MINI MARKET,1892 BROAD ST,HARTFORD,6114
100501,HI-WAY MARKET,616 FEDERAL RD,BROOKFIELD,6804
100502,STOP & SHOP #656,125 Danbury Rd,RIDGEFIELD,6877
100505,STOP & SHOP #659,72 NEWTOWN RD,DANBURY,6810
100508,SUPER FOOD MART #404,WHITE TURKEY RD.,BROOKFIELD,6804
100511,THE STORE OF DANBURY INC,79 LAKE AVE,DANBURY,6810
100513,NEW FAIRFIELD FOOD CENTER,1 BRUSH HILL RD RTE 37 & 39,NEW FAIRFIELD,6812
100515,M & B VARIETY,1193 NORTH AVE,BRIDGEPORT,6604
100516,STOP & SHOP #681,1235 FARMINGTON AVE,WEST HARTFORD,6107
100517,THE COUNTRY GROCER,92 MAIN ST,THOMASTON,6787
100523,NEWINGTON A-1,129 WILLARD AVE,NEWINGTON,6111
100531,MINI MARKET,1345 EAST PUTNAM AVE,OLD GREENWICH,6870
100532,LARRY`S TWO,35 BURNSIDE AVE,EAST HARTFORD,6108
100536,TIP TOP QUALITY MARKET,74 KIMBERLY AVE,NEW HAVEN,6519
100537,IDEAL PACKAGE STORE,85 Main Street,STAFFORD SPRINGS,6076
100539,COUNTRYSIDE MARKET,108 MAIN ST,ROCKFALL,6481
100541,MILFORD MOBIL,1354 BOSTON POST RD.,MILFORD,6460
100542,D & D DELI,159 BOSTON POST RD,ORANGE,6477
100554,D`ELIA`S GRINDER HAVEN,2174 NORWICH-NLDN TPK,UNCASVILLE,6382
100558,STOP & SHOP #674,1391 MAIN ST,WILLIMANTIC,6226
100559,TRI TOWN FOODS,139 S. MAIN STREET,COLCHESTER,6415
100560,DELS PACKAGE STORE,929 NEW BRITAIN AVE,ELMWOOD,6110
100561,THE PACKAGE STORE INC,127 MAIN ST,HEBRON,6248
100563,CLC CASHING TERMINAL,777 Brook Street,Rocky Hill,6067
100564,MRS. V,484 MAIN ST,MIDDLETOWN,6457
100567,BIG Y #33,83 LATHROP RD,PLAINFIELD,6374
100576,BAGGY`S LIQUORS & WINES,383 FARMINGTON AVE,PLAINVILLE,6062
100578,COMMUTER VARIETY DELI,928 HOPE ST,STAMFORD,6907
100579,DAIRY FARMS STORE #4,400 NORTH MAIN ST,SOUTHINGTON,6489
100582,THE HAPPY HOUSE GENERAL STORE,501 GLENBROOK RD.,STAMFORD,6906
100586,MIKES DELI & GROCERY,194 EAST AVE,NORWALK,6851
100591,ELLINGTON CENTER LIQUOR SHOPPE,175 WEST RD,ELLINGTON,6029
100595,RITE-WAY CLEANERS & TAILORS,190 DIXWELL AVE,NEW HAVEN,6511
100599,NEW HAVEN WINE & LIQUORS,202 WHALLEY AVE,NEW HAVEN,6511
100604,QUEEN STREET MOBIL LLC,301 QUEEN ST,SOUTHINGTON,6489
100606,TOWN & COUNTRY PACKAGE,785 SILVER LN,EAST HARTFORD,6118
100608,MATTATUCK NEWS & VARIETY,1904 E. MAIN ST,WATERBURY,6705
100611,BUD`S DELI,714 REEF RD,FAIRFIELD,6824
100614,BEACON PRESCRIPTION,875 FOXON RD.,EAST HAVEN,6512
100615,CALISES FOOD MARKET,734 POST RD E,WESTPORT,6880
100616,VERNON CIRCLE PACKAGE INC,243 Hartford Tpke,VERNON,6066
100622,NOTCH STORE LLC,905 WATERBURY RD,CHESHIRE,6410
100627,STOP & SHOP #648,112 AMITY RD,NEW HAVEN,6515
100628,PETIT`S GENERAL STORE,18 WHITING ST,PLAINVILLE,6062
100632,DAIRY & ENERGY STORE,133 PADANARAM RD,DANBURY,6810
100640,LU-MAC`S PACKAGE STORE,352 NORWICH-WESTERLY RD,PRESTON,6365
100643,WISE CLEANERS,1064 DIXWELL AVE,HAMDEN,6514
100647,ON THE WAY,352 Hartford Tpke,VERNON,6066
100649,GHEZZIS MARKET,970 NEWFIELD ST,MIDDLETOWN,6457
100651,VALENCIA LIQUOR STORE,1231 EAST MAIN ST,MERIDEN,6450
100654,WILLINGTON HILL PACKAGE STORE,182 TOLLAND TPKE RTE 74,WILLINGTON,6279
100662,ISAAC`S MINI FOOD MART,18 MOUNTAIN AVE,BLOOMFIELD,6002
100666,NORTH MART PACKAGE STORE,2390 Dixwell Ave,HAMDEN,6517
100668,M & R LIQUORS,1069 BURNSIDE AVE,EAST HARTFORD,6108
100671,DEVON NEWS,149 BRIDGEPORT AVE,MILFORD,6460
100673,P.T. PETROLEUM INC,932 DANBURY RD,WILTON,6897
100674,BETTER VAL-U #6,1666 RTE 12,GALES FERRY,6335
100677,VILLAS CORNER MARKET,232 BRADLEY AVE,WATERBURY,6708
100681,CAPTAINS FOOD MART,321 MAIN ST,BRIDGEPORT,6604
100682,SUPER FOODMART #339,WEBSTER SQUARE,BERLIN,6037
100683,PINE ST PACKAGE STORE,90 PINE ST,BRISTOL,6010
100685,BILL`S DOCKSIDE DELI,36 DYKE LN,STAMFORD,6901
100691,GEORGE`S DRIVE-IN PKG STORE,OLD ROUTE 8,HARWINTON,6791
100694,HI-WAY PACKAGE LLC,18 KILLINGWORTH RD,HIGGANUM,6441
100698,OUR OASIS,664 COE AVE,EAST HAVEN,6512
100700,Als Village Mart & Deli LLC,569 MAIN ST,PLYMOUTH,6782
100706,RESEARCH DRIVE DELI,100 RESEARCH DR  #4,STAMFORD,6906
100707,SMITH`S PHARMACY INC.,251 MAIN ST,NIANTIC,6357
100711,GLASTONBURY SHELL,2749 MAIN ST,GLASTONBURY,6033
100712,LEFTY`S PACKAGE STORE,1207 SOUTH MAIN ST,PLANTSVILLE,6479
100713,MOBIL MART,2714 S MAIN ST,WATERBURY,6706
100715,SHARON PACKAGE STORE,1 Gay Street,SHARON,6069
100718,BONNEVILLE PHARMACY,77 WESTCOTT RD,DANIELSON,6239
100719,STOP & SHOP #638,930 COLONY RD RTE 5,WALLINGFORD,6492
100732,HARKEN`S MARKET,287 S MAIN ST,EAST WINDSOR,6088
100734,PAPER STORE INC.,157 MAIN ST,DANIELSON,6239
100746,MORRIS SPIRIT SHOP,19 WEST ST,MORRIS,6763
100749,Q Mart,810 S COLONY RD,WALLINGFORD,6492
100751,NORWICH SHELL FOOD MART,168 WESTTOWN ST,NORWICH,6360
100753,YE CORNER SPIRITS,273 MAIN ST,SOUTH MERIDEN,6451
100756,C. J. GETTY MART,195 STATE ST,NORTH HAVEN,6473
100757,LIBERTY LIQUOR SHOP INC.,699 PACIFIC ST,STAMFORD,6902
100759,NORTH MADISON WINE & SPIRITS,518 OLD TOLL RD.,MADISON,6443
100761,LYNNS DELI,365 EAST MAIN ST,BRANFORD,6405
100762,CITY PLACE NEWS,185 ASYLUM ST,HARTFORD,6103
100770,COMPARE FOOD,1050 E MAIN ST,BRIDGEPORT,6608
100771,SHORE MART,30 EAST BROADWAY,MILFORD,6460
